"ID","Recency (months)","Frequency (times)","Monetary (cc)","Time (months)","Churn (0/1)","R-Score","F-Score","M-Score","RFM-Score","P[B]","RFM Resp Prob"
36,2,8,2000,28,1,5,5,5,15,0.6,0.447852474323063
62,2,8,2000,35,1,5,5,5,15,0.666666666666667,0.447852474323063
9,2,9,2250,22,1,5,5,5,15,0.571428571428571,0.447852474323063
47,2,9,2250,36,0,5,5,5,15,0.5,0.447852474323063
141,2,9,2250,74,0,5,5,5,15,0.444444444444444,0.447852474323063
13,2,10,2500,28,1,5,5,5,15,0.444444444444444,0.447852474323063
63,2,10,2500,49,0,5,5,5,15,0.444444444444444,0.447852474323063
110,2,10,2500,64,0,5,5,5,15,0.333333333333333,0.447852474323063
51,2,11,2750,46,0,5,5,5,15,0.444444444444444,0.447852474323063
52,2,11,2750,46,1,5,5,5,15,0.444444444444444,0.447852474323063
120,2,11,2750,79,1,5,5,5,15,0.333333333333333,0.447852474323063
135,2,11,2750,88,0,5,5,5,15,0.333333333333333,0.447852474323063
37,2,12,3000,47,1,5,5,5,15,0.333333333333333,0.447852474323063
54,2,12,3000,52,0,5,5,5,15,0.444444444444444,0.447852474323063
115,2,12,3000,82,0,5,5,5,15,0.444444444444444,0.447852474323063
132,2,12,3000,95,0,5,5,5,15,0.444444444444444,0.447852474323063
138,2,12,3000,98,0,5,5,5,15,0.555555555555556,0.447852474323063
41,2,13,3250,53,1,5,5,5,15,0.555555555555556,0.447852474323063
102,2,13,3250,76,1,5,5,5,15,0.555555555555556,0.447852474323063
17,2,14,3500,48,1,5,5,5,15,0.555555555555556,0.447852474323063
39,2,14,3500,57,1,5,5,5,15,0.666666666666667,0.447852474323063
18,2,15,3750,49,1,5,5,5,15,0.777777777777778,0.447852474323063
35,2,16,4000,64,0,5,5,5,15,0.666666666666667,0.447852474323063
59,2,16,4000,81,0,5,5,5,15,0.555555555555556,0.447852474323063
4,2,20,5000,45,1,5,5,5,15,0.444444444444444,0.447852474323063
1,2,50,12500,98,1,5,5,5,15,0.333333333333333,0.447852474323063
70,1,9,2250,51,0,5,5,5,15,0.333333333333333,0.447852474323063
8,1,12,3000,35,0,5,5,5,15,0.333333333333333,0.447852474323063
14,1,13,3250,47,0,5,5,5,15,0.333333333333333,0.447852474323063
31,1,14,3500,58,0,5,5,5,15,0.333333333333333,0.447852474323063
3,1,16,4000,35,1,5,5,5,15,0.222222222222222,0.447852474323063
5,1,24,6000,77,0,5,5,5,15,0.222222222222222,0.447852474323063
107,0,8,2000,59,0,5,5,5,15,0.222222222222222,0.447852474323063
2,0,13,3250,28,1,5,5,5,15,0.333333333333333,0.447852474323063
66,3,16,4000,74,0,4,5,5,14,0.333333333333333,0.277777777777778
97,3,17,4250,86,0,4,5,5,14,0.222222222222222,0.277777777777778
234,10,8,2000,39,0,3,5,5,13,0.333333333333333,0.514336917562724
197,9,8,2000,38,1,3,5,5,13,0.333333333333333,0.514336917562724
25,9,9,2250,16,0,3,5,5,13,0.222222222222222,0.514336917562724
200,9,9,2250,45,0,3,5,5,13,0.222222222222222,0.514336917562724
241,8,8,2000,52,1,3,5,5,13,0.222222222222222,0.514336917562724
240,8,9,2250,58,0,3,5,5,13,0.222222222222222,0.514336917562724
236,8,10,2500,63,0,3,5,5,13,0.111111111111111,0.514336917562724
189,8,15,3750,77,0,3,5,5,13,0.222222222222222,0.514336917562724
248,7,12,3000,86,0,3,5,5,13,0.222222222222222,0.514336917562724
106,6,17,4250,70,0,3,5,5,13,0.222222222222222,0.514336917562724
142,5,14,3500,86,0,3,5,5,13,0.333333333333333,0.514336917562724
10,5,46,11500,98,1,3,5,5,13,0.444444444444444,0.514336917562724
30,4,8,2000,21,0,3,5,5,13,0.555555555555556,0.514336917562724
57,4,8,2000,26,1,3,5,5,13,0.666666666666667,0.514336917562724
101,4,8,2000,34,1,3,5,5,13,0.777777777777778,0.514336917562724
114,4,8,2000,40,1,3,5,5,13,0.888888888888889,0.514336917562724
127,4,8,2000,46,1,3,5,5,13,0.888888888888889,0.514336917562724
129,4,8,2000,48,1,3,5,5,13,0.888888888888889,0.514336917562724
34,4,9,2250,26,1,3,5,5,13,0.777777777777778,0.514336917562724
46,4,9,2250,28,1,3,5,5,13,0.777777777777778,0.514336917562724
98,4,9,2250,38,1,3,5,5,13,0.777777777777778,0.514336917562724
103,4,9,2250,40,0,3,5,5,13,0.666666666666667,0.514336917562724
112,4,9,2250,46,0,3,5,5,13,0.555555555555556,0.514336917562724
32,4,10,2500,28,1,3,5,5,13,0.444444444444444,0.514336917562724
33,4,10,2500,28,1,3,5,5,13,0.444444444444444,0.514336917562724
22,4,11,2750,28,0,3,5,5,13,0.333333333333333,0.514336917562724
118,4,11,2750,61,0,3,5,5,13,0.333333333333333,0.514336917562724
153,4,11,2750,78,0,3,5,5,13,0.444444444444444,0.514336917562724
28,4,12,3000,34,1,3,5,5,13,0.444444444444444,0.514336917562724
184,4,12,3000,88,0,3,5,5,13,0.444444444444444,0.514336917562724
26,4,14,3500,40,0,3,5,5,13,0.444444444444444,0.514336917562724
73,4,17,4250,71,1,3,5,5,13,0.555555555555556,0.514336917562724
56,4,19,4750,69,1,3,5,5,13,0.555555555555556,0.514336917562724
45,4,20,5000,69,1,3,5,5,13,0.555555555555556,0.514336917562724
11,4,23,5750,58,0,3,5,5,13,0.555555555555556,0.514336917562724
16,2,5,1250,11,1,5,4,4,13,0.555555555555556,0.514336917562724
42,2,5,1250,16,0,5,4,4,13,0.444444444444444,0.514336917562724
43,2,5,1250,16,1,5,4,4,13,0.444444444444444,0.514336917562724
44,2,5,1250,16,0,5,4,4,13,0.333333333333333,0.514336917562724
104,2,5,1250,26,0,5,4,4,13,0.333333333333333,0.514336917562724
105,2,5,1250,26,0,5,4,4,13,0.333333333333333,0.514336917562724
